id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30587583,Eysines : maison neuve.,93896075,Julien,Eysines,Eysines,44.86527,-0.64828,Entire home/apt,75,5,1,2019-08-24,0.04,1,0,0,
30686814,"Lovely Room in a typical ""appartement bordelais""",178443127,Samuele,Bordeaux,Bordeaux Sud,44.83282,-0.57089,Private room,39,1,9,2019-04-24,0.27,2,0,0,
30686899,"Studio Hyper centre, Terrasse et parking",229696044,Brigitte,Bordeaux,Bordeaux Sud,44.82816,-0.5747,Entire home/apt,50,365,0,,,1,88,0,
30688099,Studio a Bordeaux Balcon&Parking&Wifi&TV&50m Bus2,44807502,Thereza,Bordeaux,Caudran,44.85413,-0.62608,Entire home/apt,38,4,41,2021-10-29,1.13,1,0,9,330630062075E
30693425,Logement tranquille à 15 min du centre ville,104904968,Bertrand Et Patricia,Bordeaux,La Bastide,44.84914,-0.53855,Entire home/apt,33,15,10,2021-05-16,0.28,1,0,3,3306300276406
30708797,"Appartement spacieux, chartrons, terrasse, parking",22269783,Kéma,Bordeaux,Bordeaux Maritime,44.86003,-0.56177,Entire home/apt,60,365,1,2019-08-23,0.04,1,0,0,
30710702,Chambre dans jolie maison près Darwin,24581418,Marie,Bordeaux,La Bastide,44.84696,-0.56112,Private room,50,3,3,2019-09-10,0.09,1,0,0,
30711001,Appartement 70m2 Bruges,188448943,Rob,Bruges,Bruges,44.87855,-0.60719,Private room,23,1,0,,,1,0,0,
30721332,Spacieux 70m2 - 6 personnes - Bordeaux - Parking,94452396,Estelle,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.8635,-0.57698,Entire home/apt,125,30,24,2020-08-26,0.67,1,0,0,"Available with a mobility lease only (""bail mobilité"")"
30728645,Jolie chambre dans une charmante maison à Eysines,53970032,Victor,Eysines,Eysines,44.88932,-0.64758,Private room,25,1,78,2021-09-01,2.17,3,0,9,
30735346,Superb apartment - Bordeaux Jardin Public,230036940,Stephane,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85048,-0.5855,Entire home/apt,78,2,31,2021-10-29,0.95,1,286,14,330630002891F
30752551,Appartement bleu Grec rue des Ayres Bordeaux,21629464,Alexandros,Bordeaux,Centre ville (Bordeaux),44.83765,-0.57569,Entire home/apt,85,3,33,2021-11-07,1.39,1,0,18,3306300569864
30756550,Maison de ville en pierre coeur de Bordeaux,29200250,Claire,Bordeaux,Nansouty - Saint Gens,44.82513,-0.56954,Entire home/apt,95,365,2,2019-04-24,0.06,1,0,0,
30757686,"Superbe appartement, vue sur la Place de la Bourse",22855705,Cathy,Bordeaux,Centre ville (Bordeaux),44.84205,-0.57129,Entire home/apt,95,2,5,2021-12-05,5,2,340,5,3306300639057
30763795,T3 avec grand séjour/cuisine,98153427,Alicia,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85538,-0.58214,Entire home/apt,35,365,1,2018-12-25,0.03,1,0,0,
30768984,Splendide Duplex de 140m² au coeur de Bordeaux,230228343,Sjp,Bordeaux,Centre ville (Bordeaux),44.84448,-0.57871,Entire home/apt,275,2,23,2020-02-05,0.66,1,0,0,33063001522CC
30782987,Chambre proche Bordeaux - 4/5,31155095,Juliette,Floirac,Floirac,44.83298,-0.53908,Private room,45,1,21,2021-10-31,0.76,5,73,2,
30783156,Bordeaux: appartement idéalement placé.,230314901,Xavi,Bordeaux,Bordeaux Sud,44.8317,-0.56713,Private room,37,1,14,2019-12-16,0.39,1,0,0,
30788435,Appartement au coeur des Chartrons,230348426,Léa,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85506,-0.57366,Entire home/apt,60,365,2,2019-04-22,0.06,1,0,0,
30797833,"Grande chambre indépendante, 10mn centre Bordeaux",230404211,Virginie,Talence,Talence,44.818649,-0.583796,Private room,43,2,189,2021-12-08,5.22,1,73,45,
30808597,Chambre Bordeaux,230476953,Barbara,Bordeaux,Bordeaux Sud,44.82856,-0.55723,Private room,20,9,0,,,1,0,0,
30843356,Appartement T2 SERENITE,230633080,Aquitain Home,Bordeaux,Bordeaux Sud,44.82227,-0.55817,Entire home/apt,113,2,6,2021-11-04,0.59,7,351,6,330630043318F
30844569,Chambre Jardin Public,145119146,Alfred,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.84684,-0.57738,Private room,121,1,3,2021-11-07,0.13,10,330,2,
30844572,Room L'Escapade Botanique,145119146,Alfred,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.84717,-0.5752,Private room,121,1,9,2021-11-05,0.94,10,320,9,
30844574,Chambre Jardin d'Hélène,145119146,Alfred,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.84657,-0.57718,Private room,121,1,2,2021-08-13,0.06,10,331,1,
30844586,Chambre Tourny,145119146,Alfred,Bordeaux,Centre ville (Bordeaux),44.84055,-0.57889,Private room,113,1,2,2021-08-07,0.08,10,326,1,
30844589,Chambre Quinconces,145119146,Alfred,Bordeaux,Centre ville (Bordeaux),44.83985,-0.57871,Private room,113,1,5,2021-10-31,0.70,10,323,5,
30854017,Chambre 16 m2 au plein centre de Bordeaux,25531105,Marion,Bordeaux,Centre ville (Bordeaux),44.83792,-0.57114,Private room,47,2,56,2020-01-26,1.55,1,0,0,
30878506,Studio jardin public chartrons,13608862,Marie,Bordeaux,Bordeaux Maritime,44.86404,-0.56934,Entire home/apt,60,2,18,2020-09-08,0.54,1,0,0,330630025774A
30900392,Chambre en toit terrasse proche Bordeaux,229016042,Maxime,Villenave-d'Ornon,Villenave-d'Ornon,44.79468,-0.56916,Private room,27,2,21,2021-05-10,0.74,1,0,4,
30904273,Loft à bas Cenon,230955686,Catarina,Cenon,Gambetta-Mairie-Lissandre,44.85905,-0.53241,Entire home/apt,151,6,9,2021-08-10,0.25,1,88,1,
30919463,#maison goodvibes #pessac,3480240,Cécile,Pessac,Nos,44.81349,-0.63803,Entire home/apt,91,1,5,2020-08-15,0.16,2,0,0,
30934030,Appartement agréable et moderne,174363089,Ermelinda,Merignac,Le Burck,44.81434,-0.64038,Entire home/apt,65,4,18,2021-10-19,0.61,3,355,15,
30936320,Pleasant house with terrace and parking 10 min away to Bordeaux - Welkeys,231165921,Alexandre,Eysines,Eysines,44.86242,-0.63809,Entire home/apt,89,1,13,2020-03-28,0.36,1,1,0,3312345678912
30948523,Studio PLENITUDE,230633080,Aquitain Home,Bordeaux,Bordeaux Sud,44.824,-0.56049,Entire home/apt,89,2,2,2021-08-21,0.06,7,361,1,33063004786EE
30948622,Appartement de caractère,38664807,Maxime,Bordeaux,Bordeaux Sud,44.83232,-0.56362,Entire home/apt,100,365,1,2018-12-21,0.03,1,0,0,
30975391,Une chambre de 17m2 dans un appartement de 130m2,81039871,David,Bordeaux,Bordeaux Sud,44.83124,-0.57038,Private room,30,2,4,2019-02-08,0.11,1,0,0,
30979854,Studio Bordeaux avec balcon,25216626,Yassine,Bordeaux,Nansouty - Saint Gens,44.82439,-0.57129,Entire home/apt,35,30,0,,,1,254,0,"Available with a mobility lease only (""bail mobilité"")"
31006468,Studios ZEN,230633080,Aquitain Home,Bordeaux,Bordeaux Sud,44.82218,-0.55832,Entire home/apt,79,2,6,2021-11-11,0.35,7,357,4,33063004785E8
31011822,Appartement  T2 ESPELETTE,230633080,Aquitain Home,Bordeaux,Bordeaux Sud,44.8229,-0.55936,Entire home/apt,113,2,9,2021-11-01,0.27,7,207,4,3306300476676
31014559,Fantastic apartment central Bordeaux,231629635,Sebastien,Bordeaux,Centre ville (Bordeaux),44.83722,-0.57501,Entire home/apt,177,2,73,2021-11-26,2.17,1,337,32,330630021384B
31016152,Independent room+bath in Bordeaux's cultural heart,11296909,Deborah,Bordeaux,Bordeaux Sud,44.83086,-0.56069,Private room,45,2,88,2021-12-01,2.46,2,5,24,
31030676,Suite cosy dans appt duplex au centre de Bordeaux,187083114,Stéphanie,Bordeaux,La Bastide,44.84482,-0.56039,Private room,80,2,22,2021-10-02,0.61,1,240,3,
31052210,"Appartement sur péniche, coin bronzette et parking",157937752,Louis,Bordeaux,Bordeaux Maritime,44.86675,-0.55648,Entire home/apt,264,6,3,2019-12-31,0.10,8,361,0,33063006522C7
31080129,T2/Parking privé/Terrasse - BORDEAUX Ravezies,10047543,Thomas,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.86186,-0.58358,Entire home/apt,70,4,24,2021-08-09,0.69,1,0,6,330630053176D
31100960,Duplex de charme au cœur de Bordeaux – St Michel,48051329,Ornella,Bordeaux,Bordeaux Sud,44.8314,-0.56142,Entire home/apt,90,1,0,,,1,0,0,33063003502B8
31113097,Chambre spacieuse 22m² Chartrons/Centre Ville,232511660,Elhya,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85148,-0.5718,Private room,32,2,13,2020-07-10,0.36,1,0,0,
31114251,Chambre très agréable proximité centre,71136422,Nathalie,Bordeaux,Centre ville (Bordeaux),44.84335,-0.58647,Private room,50,1,5,2021-09-12,0.14,3,345,1,
31138180,T2 avec grand balcon à Pessac,20319926,Marina,Pessac,Le Monteil,44.80537,-0.65661,Entire home/apt,46,3,8,2020-02-08,0.23,1,0,0,
31148243,"Appart propre, sympa, moins de 10 min de Bordeaux!",19434538,Ludovic,Merignac,La Glacire,44.83941,-0.63849,Entire home/apt,75,6,0,,,1,88,0,
31164109,New ✦ Bel appartement - Jardin Public / Chartrons,47902669,Amandine,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85243,-0.57486,Entire home/apt,90,365,1,2020-08-23,0.06,1,0,0,
31196147,Échoppe rénovée avec jardin,70030096,Audrey,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82865,-0.59536,Entire home/apt,180,2,0,,,1,39,0,33063003650DE
31229618,Agréable appartement centre de Bordeaux,6362800,Vanessa,Bordeaux,Centre ville (Bordeaux),44.84035,-0.58816,Entire home/apt,50,2,35,2020-09-13,0.98,3,0,0,3306300054525
31244254,Superbe appartement-proche Bordeaux-pied du tram,140122682,Yoan,Lormont,Lormont,44.88068,-0.52225,Entire home/apt,52,2,106,2021-11-19,3.14,1,313,49,
31245611,Appt 51 m² proche rocade et toutes commodités,119654926,Jean-Christophe,Bruges,Bruges,44.88222,-0.62497,Entire home/apt,51,3,4,2019-04-28,0.11,2,0,0,
31249297,Charmante maison bois proche Bordeaux lac,115220594,Estelle,Bruges,Bruges,44.8867,-0.58948,Entire home/apt,95,7,2,2019-07-29,0.07,1,0,0,
31251456,"The Nest, comfortable guesthouse near Bordeaux",9260179,Bérénice & Gérard,Gradignan,Gradignan,44.75928,-0.63076,Entire home/apt,59,2,16,2019-10-17,0.48,1,2,0,
31251641,Chambre indépendante sur Jardin,174154715,Andréa,Merignac,Centre ville (Merignac),44.84062,-0.66545,Private room,40,2,109,2021-11-10,3.08,1,167,16,
31254285,LE COCOON 29 - Cosy apt in historic centre,164626639,Agence Cocoonr Bordeaux,Bordeaux,Centre ville (Bordeaux),44.83948,-0.5728,Entire home/apt,68,1,42,2021-10-31,1.18,31,289,16,3306300277548
31260307,APPT ultra centre au calme terrasse avec vue,63929283,Pauline,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83459,-0.58057,Entire home/apt,750,365,0,,,1,0,0,
31289313,aprt t2,193638369,Esmerald,Bgles,Bgles,44.7986,-0.54615,Shared room,30,1,0,,,1,89,0,
31305987,75m2 chaleureux à Bordeaux-Caudéran,22804608,Eugènie & Alexandre,Bordeaux,Caudran,44.86103,-0.61756,Entire home/apt,100,365,22,2020-08-07,0.62,1,0,0,
31322739,T2,167587448,Aurélien,Bruges,Bruges,44.88378,-0.6112,Entire home/apt,48,1,1,2019-01-17,0.03,1,0,0,
31343656,Chambre à 20mn de Bordeaux,31997037,Julien,Eysines,Eysines,44.88154,-0.66025,Private room,30,1,0,,,1,0,0,
31350037,Charmant T2 Bordeaux centre,234047699,Renaud,Bordeaux,Bordeaux Sud,44.82928,-0.57568,Entire home/apt,70,4,34,2021-09-17,0.96,1,0,8,3306300294391
31351244,Maison de charme avec jardin à 10 min de Bordeaux,234741553,Lionel,Villenave-d'Ornon,Villenave-d'Ornon,44.77434,-0.52813,Entire home/apt,123,1,192,2021-11-13,5.41,1,1,60,
31357327,Bordeaux city centre / 4-6 pers with terrace,92091776,Emmanuelle,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83384,-0.58691,Entire home/apt,110,2,61,2021-11-14,1.79,3,0,22,33063002799D8
