id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31325442,Grand T1 lumineux au pied du tram et proche métro,233900922,Carole,,7e Arrondissement,45.73214,4.82762,Entire home/apt,70,2,5,2019-12-08,0.14,1,0,0,6938713066602
31368722,Le cocon de Lumiere,234918455,Stephanie,,8e Arrondissement,45.74321,4.86443,Private room,38,1,0,,,1,0,0,
31374880,Rare. Chambre/ Croix- rousse/terrasse panoramique.,227121910,Cécile,,4e Arrondissement,45.78121,4.83775,Private room,52,4,16,2021-10-25,0.49,7,169,2,
31376210,"{@Sweet Home, •Cocooning• Lyon // avec ‘PARKING’}",84851094,Sarah,,9e Arrondissement,45.77013,4.7968,Entire home/apt,77,365,3,2019-01-30,0.09,2,83,0,
31407076,DIFY Roi Lyon - Hotel de Ville,8067536,Nicolas,,1er Arrondissement,45.77087,4.83269,Entire home/apt,356,2,75,2021-11-10,2.13,68,169,19,6938112610965
31431206,"Light, quiet room with continental breakfast",6037357,Michèle,,7e Arrondissement,45.73899,4.83979,Private room,40,1,11,2019-07-08,0.31,1,0,0,
31460172,Logement 47 m2 dans le 7eme,7190318,Antoine,,7e Arrondissement,45.74749,4.83898,Entire home/apt,60,2,11,2020-02-09,0.32,1,0,0,6938713015231
31460254,Appartement calme au cœur de la Croix Rousse,3662617,Pauline,,4e Arrondissement,45.77609,4.83318,Entire home/apt,100,365,0,,,1,87,0,
31469125,"Chambre dans logement partagée 
Quartier Gerland",235749543,Kamel,,7e Arrondissement,45.72533,4.82742,Private room,28,1,89,2021-11-26,2.52,1,5,38,
31478161,Lyon : Grand studio avec vue,235833510,Pierre Henri,,2e Arrondissement,45.75066,4.83155,Entire home/apt,50,365,2,2019-01-30,0.06,1,0,0,
31490409,Appartement Lyon Centre,81743264,Ghali,,3e Arrondissement,45.75121,4.85777,Private room,93,1,1,2019-06-05,0.03,1,0,0,
31522458,T3 de 70m² avec 2 chambres et terrasse,5117719,Cecile,,3e Arrondissement,45.75736,4.85547,Entire home/apt,104,7,3,2021-10-30,0.09,20,357,2,6938812559896
31528167,Chambre dans appartement - Montplaisir,7505318,Laurence,,3e Arrondissement,45.74731,4.8748,Private room,35,2,6,2019-09-20,0.17,1,0,0,
31532775,Ecolo Loft proche transports dans cour intérieure,236311185,Marie-Anne,,7e Arrondissement,45.74952,4.84722,Entire home/apt,62,1,22,2019-07-10,0.63,1,0,0,6938712952576
31534562,Chambre  Studio à Montchat Lyon 69003,191415004,Rene,,3e Arrondissement,45.74242,4.89214,Private room,45,2,9,2021-06-11,0.26,1,102,1,
31551544,Cozy room in Lyon (route de Vienne-Jean Macé),54097356,Vanda,,8e Arrondissement,45.73632,4.84953,Private room,20,2,0,,,1,0,0,
31555436,Junior Suite Envol - 2 Pl Gailleton - MiHotel,4371135,MiHotel,,2e Arrondissement,45.75361,4.83324,Hotel room,500,1,0,,,2,365,0,6938212399518
